chemicalid,residual sugar,chlorides,sulphates
2612,2.1,102,0.48
2613,1.6,92,0.58
2614,2.0,0.12,0.58
2615,2.2,75,0.84
2616,2.2,68,0.75
2617,0.9,49,0.44
2618,0.9,49,0.44
2619,1.8,78,0.61
2620,2.4,123,0.53
2621,2.4,123,0.53
2622,2.1,62,0.54
2623,2.3,98,0.55
2624,1.8,88,0.56
2625,2.8,95,0.6
2626,1.9,66,0.56
2627,2.2,65,0.52
2628,2.5,75,0.54
2629,1.8,88,0.56
2630,2.1,91,0.55
2631,1.8,93,0.58
2632,4.1,95,0.53
2633,2.6,89,0.59
2634,2.5,77,0.47
2635,2.4,85,0.65
2636,2.5,0.0819999999999999,0.59
2637,1.8,74,0.56
2638,6.2,78,0.77
2639,2.2,88,0.83
2640,2.2,88,0.67
2641,1.7,79,0.64
2642,2.2,88,0.83
2643,8.9,69,0.81
2644,3.3,46,0.62
2645,1.4,0.07,0.58
2646,1.7,76,0.62
2647,1.8,0.0819999999999999,0.64
2648,1.7,81,0.78
2649,1.8,84,0.77
2650,1.8,0.0819999999999999,0.64
2651,1.4,414,1.34
2652,2.4,73,0.55
2653,2.3,0.07,0.77
2654,2.0,95,0.62
2655,2.0,95,0.62
2656,4.0,0.1009999999999999,0.59
2657,3.9,104,0.57
2658,2.4,93,0.76
2659,4.0,0.1009999999999999,0.59
2660,1.8,74,0.7
2661,1.8,71,0.69
2662,1.9,98,0.64
2663,2.4,75,0.63
2664,2.0,67,0.57
2665,2.4,83,0.6
2666,2.4,0.07,0.72
2667,2.2,0.06,0.83
2668,2.2,0.06,0.83
2669,2.8,86,0.62
2670,1.5,57,0.89
2671,8.1,98,0.58
2672,1.8,83,0.58
2673,2.7,88,0.58
2674,8.1,98,0.58
2675,2.0,71,0.86
2676,2.0,73,0.73
2677,6.4,0.08,0.58
2678,6.4,0.08,0.58
2679,8.3,0.05,0.51
2680,1.4,47,0.51
2681,8.3,0.05,0.51
2682,1.8,73,0.59
2683,2.4,72,0.77
2684,1.8,73,0.59
2685,1.8,74,0.49
2686,4.7,55,0.66
2687,1.6,57,0.69
2688,1.5,95,0.76
2689,1.5,95,0.76
2690,1.9,83,0.63
2691,2.0,86,0.6
2692,2.0,81,0.59
2693,2.2,79,0.86
2694,5.5,0.1169999999999999,0.49
2695,2.5,87,0.5
2696,5.5,0.1169999999999999,0.49
2697,1.5,96,0.52
2698,2.1,216,0.81
2699,1.5,96,0.52
2700,2.1,72,0.78
2701,2.1,71,0.63
2702,1.7,78,0.54
2703,2.1,71,0.63
2704,2.2,73,0.66
2705,2.1,48,0.6
2706,1.9,69,0.54
2707,2.0,68,0.85
2708,3.3,0.09,0.49
2709,2.1,171,0.76
2710,1.4,0.07,0.64
2711,2.0,92,0.64
2712,1.5,0.0559999999999999,0.71
2713,1.6,74,0.59
2714,4.3,46,0.66
2715,2.5,91,0.6
2716,2.5,91,0.6
2717,2.5,91,0.6
2718,2.1,65,0.53
2719,2.5,66,0.58
2720,2.5,76,0.72
2721,1.8,62,0.55
2722,1.4,55,0.48
2723,1.9,81,0.65
2724,2.2,96,0.62
2725,1.7,55,0.59
2726,1.7,63,0.54
2727,2.9,72,0.6
2728,2.7,95,0.68
2729,3.3,92,0.69
2730,1.9,0.0579999999999999,0.63
2731,1.7,45,0.44
2732,1.8,75,0.88
2733,5.5,89,0.68
2734,1.7,61,0.74
2735,1.7,67,0.6
2736,2.0,0.08,0.76
2737,2.0,0.08,0.76
2738,3.7,104,0.58
2739,2.0,79,0.64
2740,1.7,0.08,0.65
2741,2.5,0.08,0.85
2742,2.4,43,0.65
2743,1.8,65,0.82
2744,2.3,66,0.62
2745,2.5,76,0.81
2746,1.8,178,0.87
2747,6.2,71,0.49
2748,2.0,86,0.66
2749,2.0,61,0.52
2750,2.8,67,0.76
2751,2.5,44,0.65
2752,2.2,118,0.53
2753,2.1,83,0.66
2754,2.2,0.1,0.68
2755,2.2,118,0.53
2756,1.75,71,0.76
2757,2.1,42,0.87
2758,2.8,76,1.16
2759,2.2,0.11,0.67
2760,2.3,87,0.72
2761,1.4,76,0.75
2762,2.3,75,0.71
2763,1.7,78,0.67
2764,1.7,78,0.67
2765,1.9,369,1.1
2766,2.0,111,0.98
2767,2.5,74,0.88
2768,2.8,67,0.56
2769,2.3,86,0.62
2770,1.6,62,0.67
2771,2.2,78,0.68
2772,2.1,74,0.74
2773,1.7,79,0.62
2774,1.7,79,0.62
2775,2.2,95,0.7
2776,5.6,79,0.5
2777,2.4,52,0.66
2778,2.1,0.0409999999999999,0.73
2779,2.4,76,0.81
2780,2.4,76,0.81
2781,1.65,68,0.46
2782,2.5,68,0.86
2783,1.6,0.07,0.6
2784,2.1,0.08,0.7
2785,2.0,85,0.46
2786,7.8,79,0.5
2787,2.0,85,0.46
2788,2.1,0.08,0.7
2789,1.8,75,0.44
2790,4.6,0.08,0.57
2791,2.3,166,0.51
2792,2.5,63,0.8
2793,2.3,166,0.51
2794,1.8,114,0.59
2795,1.8,78,0.6
2796,2.3,76,0.58
2797,1.5,69,0.54
2798,2.0,52,0.79
2799,2.3,76,0.58
2800,1.5,69,0.54
2801,1.9,65,0.54
2802,1.8,68,0.69
2803,5.8,111,0.55
2804,2.1,74,0.85
2805,2.1,74,0.85
2806,2.1,74,0.85
2807,1.7,136,0.94
2808,2.1,74,0.85
2809,2.0,71,0.87
2810,2.1,78,0.62
2811,2.1,76,0.62
2812,2.1,78,0.62
2813,1.9,71,0.75
2814,1.9,81,0.48
2815,2.1,95,0.56
2816,2.0,79,0.69
2817,1.9,57,0.81
2818,1.9,0.0819999999999999,0.69
2819,1.3,44,0.83
2820,1.8,132,0.77
2821,1.8,132,0.77
2822,2.2,78,0.46
2823,2.2,74,0.76
2824,2.5,0.08,0.82
2825,2.6,91,0.51
2826,4.1,0.08,0.47
2827,2.0,104,0.72
2828,1.8,44,0.73
2829,2.1,75,0.64
2830,2.7,66,0.78
2831,2.6,74,0.62
2832,2.1,75,0.64
2833,2.2,57,0.49
2834,2.2,59,0.4
2835,12.9,54,0.56
2836,1.7,0.07,0.64
2837,2.2,59,0.4
2838,2.5,81,0.46
2839,4.3,57,0.56
2840,1.7,76,0.4
2841,2.5,79,0.59
2842,2.0,0.0579999999999999,0.6
2843,2.4,0.0819999999999999,0.62
2844,13.4,67,0.54
2845,1.8,0.0819999999999999,0.68
2846,1.7,86,0.48
2847,1.8,0.0819999999999999,0.68
2848,2.2,81,0.75
2849,2.3,79,0.61
2850,2.3,79,0.61
2851,2.2,77,0.59
2852,1.8,123,0.58
2853,1.4,96,0.58
2854,1.9,79,0.69
2855,2.4,69,0.45
2856,1.8,0.0819999999999999,0.42
2857,4.8,85,0.7
2858,2.7,123,0.63
2859,2.7,123,0.63
2860,1.8,0.4029999999999999,1.15
2861,2.0,83,0.55
2862,2.5,81,0.58
2863,2.2,89,0.46
2864,1.8,66,0.72
2865,2.3,81,0.6
2866,2.3,81,0.6
2867,2.3,68,0.87
2868,2.0,79,0.55
2869,1.8,44,0.82
2870,1.6,48,0.75
2871,1.6,49,0.57
2872,1.9,77,0.53
2873,2.0,73,0.43
2874,2.1,102,0.53
2875,2.3,75,0.54
2876,6.3,0.05,0.56
2877,1.9,114,0.6
2878,2.3,75,0.54
2879,1.7,62,0.57
2880,1.9,77,0.64
2881,1.9,77,0.64
2882,2.0,84,0.68
2883,2.7,96,0.63
2884,2.3,71,0.56
2885,1.8,0.09,0.57
2886,2.5,68,0.54
2887,2.6,0.0559999999999999,0.37
2888,4.5,68,1.17
2889,4.5,68,1.17
2890,1.9,0.1,0.59
2891,2.1,73,0.75
2892,2.4,0.0559999999999999,0.67
2893,1.9,84,0.49
2894,2.1,73,0.75
2895,4.3,93,0.45
2896,4.3,93,0.45
2897,2.1,64,0.61
2898,1.4,63,0.56
2899,2.1,0.1369999999999999,0.4
2900,2.15,0.08,0.61
2901,2.0,0.1,0.74
2902,2.1,64,0.8
2903,1.8,81,0.66
2904,2.3,87,0.44
2905,1.9,73,0.53
2906,2.5,88,0.62
2907,3.9,68,0.52
2908,2.5,88,0.62
2909,1.4,71,0.61
2910,1.9,73,0.53
2911,3.0,64,0.59
2912,1.9,83,0.47
2913,2.3,86,0.54
2914,2.4,86,0.53
2915,2.0,83,0.58
2916,1.2,0.0409999999999999,0.59
2917,2.2,91,0.69
2918,2.0,83,0.58
2919,1.7,414,1.33
2920,2.6,94,0.66
2921,1.2,0.0409999999999999,0.59
2922,1.8,0.0579999999999999,0.55
2923,1.8,0.06,0.82
2924,1.7,77,0.6
2925,1.7,77,0.6
2926,1.7,77,0.6
2927,1.7,77,0.6
2928,1.8,73,0.52
2929,2.1,83,0.56
2930,2.1,83,0.56
2931,3.8,107,0.46
2932,1.7,75,0.43
2933,2.2,79,0.51
2934,2.0,166,0.52
2935,2.4,69,0.66
2936,1.4,57,0.45
2937,1.4,57,0.45
2938,1.4,57,0.45
2939,1.7,84,0.54
2940,1.7,84,0.54
2941,1.7,84,0.54
2942,1.7,85,0.51
2943,1.7,84,0.54
2944,2.6,77,0.53
2945,2.3,63,0.53
2946,2.1,0.0559999999999999,0.56
2947,1.8,78,0.39
2948,1.8,78,0.39
2949,2.8,81,0.52
2950,2.0,69,0.57
2951,2.3,65,0.51
2952,1.9,86,0.46
2953,1.9,86,0.46
2954,2.3,77,0.52
2955,1.8,86,0.44
2956,1.8,84,0.44
2957,2.5,78,0.59
2958,5.4,168,0.5
2959,1.4,91,0.65
2960,2.3,0.1119999999999999,0.56
2961,2.5,93,0.54
2962,1.4,91,0.65
2963,2.0,0.08,0.48
2964,1.9,96,0.53
2965,2.2,115,0.62
2966,1.7,94,0.5
2967,2.2,88,1.18
2968,2.1,79,0.5
2969,1.6,69,0.37
2970,1.7,415,1.17
2971,3.1,153,1.03
2972,1.7,415,1.17
2973,3.8,0.11,0.45
2974,1.2,267,0.51
2975,2.0,83,0.52
2976,1.4,86,0.46
2977,2.3,0.09,0.62
2978,2.0,78,0.51
2979,2.6,77,0.62
2980,2.6,77,0.62
2981,1.8,74,0.45
2982,2.1,0.08,0.49
2983,2.1,0.08,0.49
2984,1.8,107,0.5
2985,3.4,76,0.42
2986,1.8,0.1,0.58
2987,1.8,0.1,0.58
2988,6.1,83,0.68
2989,2.2,0.08,0.53
2990,2.3,68,0.59
2991,2.4,94,0.58
2992,1.3,0.07,0.48
2993,2.0,78,0.48
2994,3.9,0.07,0.48
2995,1.6,92,0.65
2996,1.6,0.09,0.65
2997,2.0,0.08,0.52
2998,2.2,83,0.62
2999,2.2,68,0.72
3000,2.1,0.08,0.51
3001,2.1,0.08,0.51
3002,2.0,52,0.82
3003,1.7,61,1.1
3004,2.6,0.0819999999999999,0.62
3005,2.0,62,0.9
3006,5.1,62,0.94
3007,2.1,64,0.93
3008,2.2,48,1.01
3009,2.1,64,0.93
3010,1.8,0.0819999999999999,0.44
3011,2.4,71,0.73
3012,5.1,62,0.94
3013,2.0,104,0.9
3014,2.2,77,0.78
3015,1.6,65,0.84
3016,2.2,77,0.78
3017,2.5,64,0.77
3018,1.6,77,0.46
3019,2.2,77,0.45
3020,1.6,77,0.46
3021,1.6,79,0.58
3022,2.1,79,0.84
3023,3.9,123,0.67
3024,1.4,76,0.7
3025,1.4,76,0.7
3026,1.8,46,0.71
3027,2.5,78,0.58
3028,1.9,72,0.63
3029,2.2,49,0.93
3030,1.8,66,0.62
3031,2.1,69,0.54
3032,1.6,42,0.85
3033,1.8,69,0.74
3034,15.4,214,0.77
3035,15.4,214,0.77
3036,1.6,0.1689999999999999,0.65
3037,4.8,0.07,0.54
3038,1.7,52,0.47
3039,2.2,72,0.68
3040,2.0,62,0.73
3041,5.2,94,0.52
3042,1.9,78,0.75
3043,1.75,0.0579999999999999,0.49
3044,2.2,72,0.68
3045,5.2,94,0.52
3046,1.9,78,0.75
3047,1.9,0.08,0.74
3048,1.9,0.08,0.73
3049,2.0,0.0559999999999999,0.76
3050,2.0,62,0.73
3051,2.7,104,0.78
3052,2.0,62,0.76
3053,1.9,74,0.58
3054,2.2,73,0.69
3055,1.6,52,0.63
3056,1.8,0.05,0.5
3057,1.9,74,0.58
3058,1.7,67,0.6
3059,1.7,54,0.8
3060,2.3,54,0.68
3061,2.1,0.06,0.61
3062,2.3,75,0.58
3063,2.4,76,0.53
3064,1.7,63,0.67
3065,1.7,63,0.67
3066,2.1,62,0.65
3067,2.3,67,0.57
3068,2.1,62,0.65
3069,2.1,61,0.55
3070,1.4,84,0.47
3071,3.75,67,0.52
3072,2.6,73,0.79
3073,1.8,71,0.54
3074,13.8,205,0.75
3075,2.2,48,0.88
3076,13.8,205,0.75
3077,2.2,48,0.88
3078,5.7,0.0819999999999999,0.52
3079,3.0,104,0.68
3080,1.5,0.08,0.62
3081,3.0,104,0.68
3082,2.1,114,0.57
3083,1.5,42,0.61
3084,2.0,0.06,0.64
3085,2.1,74,0.55
3086,2.1,0.07,0.6
3087,1.9,66,0.78
3088,1.7,49,0.58
3089,2.1,48,0.76
3090,1.8,39,0.56
3091,1.7,49,0.58
3092,1.6,0.05,0.54
3093,1.9,89,0.59
3094,1.4,66,0.7
3095,1.9,0.08,0.81
3096,1.9,89,0.59
3097,2.3,54,0.63
3098,2.3,68,0.58
3099,2.3,54,0.63
3100,1.5,76,0.53
3101,4.3,83,0.53
3102,2.4,78,0.54
3103,2.5,77,0.69
3104,2.3,106,0.55
3105,1.8,78,0.63
3106,2.0,0.07,0.66
3107,2.3,106,0.55
3108,2.1,74,0.72
3109,1.8,62,0.7
3110,2.2,47,0.77
3111,2.1,68,0.67
3112,2.2,61,0.65
3113,1.8,78,0.6
3114,4.1,74,0.72
3115,4.1,74,0.72
3116,2.3,71,0.97
3117,2.0,63,0.83
3118,2.2,114,0.63
3119,2.6,106,0.58
3120,2.0,63,0.83
3121,1.9,0.0819999999999999,0.43
3122,2.3,71,0.97
3123,2.0,76,0.6
3124,2.0,75,0.78
3125,2.1,64,0.64
3126,2.2,64,0.65
3127,1.7,71,0.66
3128,2.2,96,0.67
3129,2.1,63,0.6
3130,2.2,63,0.69
3131,2.8,81,0.66
3132,2.0,0.0579999999999999,0.68
3133,1.9,74,0.61
3134,2.4,64,0.62
3135,2.2,75,0.59
3136,1.9,77,0.68
3137,1.9,59,0.64
3138,2.5,81,0.63
3139,1.8,65,0.78
3140,4.4,71,0.63
3141,2.2,54,0.76
3142,1.9,64,0.56
3143,2.2,64,0.57
3144,2.3,63,0.81
3145,1.8,59,0.64
3146,2.0,72,0.61
3147,1.6,48,0.51
3148,2.0,99,0.58
3149,1.8,74,0.7
3150,2.3,87,0.53
3151,2.3,83,0.54
3152,3.7,103,0.66
3153,2.2,0.08,0.6
3154,2.4,62,0.6
3155,1.7,65,0.68
3156,2.2,66,0.56
3157,2.4,62,0.6
3158,6.7,235,0.56
3159,2.0,0.08,0.52
3160,2.0,0.08,0.52
3161,2.0,0.08,0.52
3162,2.0,76,0.54
3163,2.0,76,0.54
3164,2.0,76,0.54
3165,1.9,61,0.82
3166,2.1,59,0.71
3167,2.0,76,0.54
3168,1.6,77,0.59
3169,1.9,0.0559999999999999,0.57
3170,2.2,0.23,0.93
3171,2.2,38,0.65
3172,2.2,69,0.51
3173,2.4,75,0.67
3174,13.9,74,0.48
3175,2.2,0.06,0.64
3176,1.6,81,0.78
3177,5.1,76,0.6
3178,1.8,118,0.67
3179,1.7,53,0.6
3180,2.4,68,0.6
3181,1.7,53,0.6
3182,2.6,53,0.5
3183,2.1,74,0.62
3184,2.4,61,0.8
3185,2.6,66,0.84
3186,2.4,65,0.85
3187,1.8,66,0.66
3188,2.5,68,0.78
3189,7.8,73,0.54
3190,1.8,77,0.82
3191,1.7,89,0.56
3192,2.3,76,0.75
3193,1.9,68,0.82
3194,2.0,0.09,0.58
3195,2.2,62,0.76
3196,2.3,76,0.75
3197,2.0,75,0.71
3198,3.6,67,0.66
