sulfurid,free sulfur dioxide,total sulfur dioxide
4468,21.0,51.0
4469,28.0,87.0
4470,26.0,60.0
4471,24.0,64.0
4472,25.0,44.0
4473,34.0,44.0
4474,17.0,36.0
4475,13.0,81.0
4476,3.0,10.0
4477,3.0,10.0
4478,13.0,81.0
4479,3.0,9.0
4480,28.0,54.0
4481,28.0,54.0
4482,9.0,22.0
4483,17.0,69.0
4484,18.0,36.0
4485,20.0,47.0
4486,17.0,31.0
4487,3.0,7.0
4488,20.0,110.0
4489,20.0,110.0
4490,6.0,12.0
4491,25.0,60.0
4492,14.0,28.0
4493,6.0,12.0
4494,25.0,60.0
4495,51.0,77.5
4496,51.0,77.5
4497,15.0,29.0
4498,11.0,18.0
4499,5.0,9.0
4500,15.0,28.0
4501,20.0,57.0
4502,4.0,15.0
4503,28.0,68.0
4504,21.0,68.0
4505,24.0,88.0
4506,22.0,91.0
4507,15.0,29.0
4508,22.0,91.0
4509,27.0,63.0
4510,24.0,88.0
4511,12.0,27.0
4512,14.0,41.0
4513,20.0,65.0
4514,24.0,69.0
4515,17.0,91.0
4516,16.0,46.0
4517,10.0,41.0
4518,17.0,91.0
4519,18.0,64.0
4520,12.0,88.0
4521,16.0,46.0
4522,9.0,18.0
4523,21.0,55.0
4524,18.0,34.0
4525,18.0,34.0
4526,18.0,34.0
4527,18.0,34.0
4528,13.0,38.0
4529,17.0,91.0
4530,17.0,91.0
4531,31.0,67.0
4532,6.0,25.0
4533,12.0,48.0
4534,4.0,11.0
4535,19.0,40.0
4536,15.0,26.0
4537,15.0,26.0
4538,15.0,26.0
4539,13.0,31.0
4540,13.0,31.0
4541,13.0,31.0
4542,17.0,31.0
4543,13.0,31.0
4544,8.0,20.0
4545,10.0,28.0
4546,5.0,13.0
4547,7.0,12.0
4548,7.0,12.0
4549,21.0,41.0
4550,32.0,73.0
4551,8.0,46.0
4552,14.0,57.0
4553,14.0,57.0
4554,7.0,28.0
4555,5.0,32.0
4556,4.0,28.0
4557,27.0,67.0
4558,52.0,98.0
4559,6.0,28.0
4560,11.0,38.0
4561,13.0,54.0
4562,6.0,28.0
4563,11.0,63.0
4564,10.0,31.0
4565,10.0,42.0
4566,10.0,45.0
4567,9.0,105.0
4568,16.0,74.0
4569,4.0,8.0
4570,12.0,66.0
4571,5.0,14.0
4572,12.0,66.0
4573,34.0,89.0
4574,16.0,29.0
4575,13.0,100.0
4576,7.0,31.0
4577,23.0,74.0
4578,10.0,28.0
4579,11.0,35.0
4580,11.0,35.0
4581,4.0,25.0
4582,25.0,105.0
4583,25.0,105.0
4584,20.0,84.0
4585,34.0,85.0
4586,8.0,23.0
4587,8.0,23.0
4588,7.0,49.0
4589,36.0,111.0
4590,15.0,33.0
4591,5.0,33.0
4592,5.0,12.0
4593,19.0,59.0
4594,27.0,73.0
4595,3.0,12.0
4596,4.0,11.0
4597,17.0,104.0
4598,13.0,28.0
4599,10.0,24.0
4600,33.0,141.0
4601,33.0,141.0
4602,6.0,24.0
4603,3.0,13.0
4604,12.0,46.0
4605,18.0,34.0
4606,8.0,22.0
4607,40.0,54.0
4608,35.0,53.0
4609,40.0,54.0
4610,5.0,16.0
4611,8.0,19.0
4612,8.0,22.0
4613,12.0,89.0
4614,3.0,15.0
4615,8.0,18.0
4616,3.0,15.0
4617,21.0,37.0
4618,3.0,19.0
4619,32.0,133.0
4620,3.0,19.0
4621,24.0,58.0
4622,39.0,55.0
4623,14.0,31.0
4624,8.0,23.0
4625,8.0,23.0
4626,23.0,60.0
4627,6.0,23.0
4628,27.0,55.0
4629,38.0,67.0
4630,18.0,47.0
4631,13.0,74.0
4632,3.0,11.0
4633,11.0,25.0
4634,55.0,95.0
4635,55.0,95.0
4636,27.0,90.0
4637,15.0,39.0
4638,3.0,8.0
4639,31.0,92.0
4640,15.0,28.0
4641,19.0,98.0
4642,18.0,30.0
4643,8.0,22.0
4644,31.0,92.0
4645,19.0,98.0
4646,18.0,30.0
4647,22.0,39.0
4648,40.0,54.0
4649,15.0,29.0
4650,15.0,28.0
4651,8.0,17.0
4652,37.0,53.0
4653,27.0,85.0
4654,7.0,23.0
4655,9.0,17.0
4656,38.0,89.0
4657,27.0,85.0
4658,8.0,20.0
4659,7.0,15.0
4660,34.0,64.0
4661,6.0,13.0
4662,14.0,31.0
4663,14.0,39.0
4664,34.0,53.0
4665,34.0,53.0
4666,31.0,54.0
4667,19.0,32.0
4668,31.0,54.0
4669,20.0,49.0
4670,8.0,24.0
4671,8.0,16.0
4672,23.0,44.0
4673,14.0,45.0
4674,48.0,82.0
4675,16.0,89.0
4676,48.0,82.0
4677,16.0,89.0
4678,3.0,14.0
4679,10.0,22.0
4680,6.0,13.0
4681,10.0,22.0
4682,3.0,9.0
4683,6.0,12.0
4684,4.0,11.0
4685,8.0,25.0
4686,9.0,23.0
4687,9.0,17.0
4688,5.0,13.0
4689,4.0,11.0
4690,8.0,18.0
4691,5.0,13.0
4692,6.0,18.0
4693,23.0,147.0
4694,15.0,28.0
4695,15.0,28.0
4696,23.0,147.0
4697,7.0,16.0
4698,7.0,13.0
4699,7.0,16.0
4700,8.0,15.0
4701,21.0,64.0
4702,15.0,60.0
4703,6.0,14.0
4704,5.0,12.0
4705,6.0,12.0
4706,6.0,14.0
4707,5.0,12.0
4708,17.0,25.0
4709,7.0,20.0
4710,26.0,48.0
4711,19.0,27.0
4712,11.0,17.0
4713,17.0,65.0
4714,16.0,65.0
4715,16.0,65.0
4716,23.0,58.0
4717,29.0,44.0
4718,7.0,20.0
4719,14.0,27.0
4720,29.0,44.0
4721,9.0,23.0
4722,23.0,58.0
4723,29.0,61.0
4724,22.0,47.0
4725,18.0,34.0
4726,18.0,38.0
4727,15.0,24.0
4728,21.0,59.0
4729,42.0,52.0
4730,9.0,18.0
4731,13.0,28.0
4732,18.0,22.0
4733,32.0,84.0
4734,13.0,29.0
4735,15.0,35.0
4736,24.0,45.0
4737,20.0,31.0
4738,15.0,26.0
4739,34.0,60.0
4740,11.0,32.0
4741,19.0,49.0
4742,29.0,38.0
4743,14.0,19.0
4744,12.0,19.0
4745,16.0,28.0
4746,17.0,26.0
4747,12.0,26.0
4748,19.0,50.0
4749,17.0,24.0
4750,17.0,26.0
4751,18.0,27.0
4752,32.0,54.0
4753,18.0,28.0
4754,15.0,23.0
4755,15.0,24.0
4756,12.0,20.0
4757,15.0,23.0
4758,66.0,115.0
4759,31.0,131.0
4760,31.0,131.0
4761,31.0,131.0
4762,12.0,20.0
4763,12.0,20.0
4764,12.0,20.0
4765,26.0,42.0
4766,24.0,52.0
4767,12.0,20.0
4768,25.0,42.0
4769,15.0,34.0
4770,19.0,35.0
4771,15.0,25.0
4772,35.0,104.0
4773,15.0,50.0
4774,23.0,92.0
4775,12.0,20.0
4776,16.0,29.0
4777,13.0,27.0
4778,13.0,20.0
4779,24.0,32.0
4780,9.0,26.0
4781,24.0,32.0
4782,13.0,27.0
4783,32.0,98.0
4784,24.0,34.0
4785,22.0,48.0
4786,34.0,60.0
4787,18.0,28.0
4788,34.0,102.0
4789,29.0,79.0
4790,26.0,35.0
4791,16.0,26.0
4792,29.0,40.0
4793,28.0,38.0
4794,32.0,44.0
4795,39.0,51.0
4796,29.0,40.0
4797,32.0,44.0
4798,18.0,42.0
